gene_id,SRR25115639,SRR25115640,SRR25115641,SRR25115642,SRR25115643,SRR25115644,SRR25115645,SRR25115646,SRR25115647
0610005C13Rik,2.14516,7.0,4.00232,6.21673,7.22245,6.011060370494,3.00248,3.42405,11.33214
0610006L08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009B22Rik,178.0,175.0,224.714,224.0,186.0,198.0,258.0,243.0,238.0005
0610009E02Rik,85.3747,101.20243,60.08672,197.54597,170.61020000000002,240.01110000000003,29.0848,29.60636,36.2152
0610009L18Rik,49.00003,62.00004,47.999970000000005,49.99996,44.99995,60.00008,58.0,63.00001,62.99996
0610010K14Rik,222.37769065,219.48373,180.9445,304.32902,288.444485,365.4529082643,182.44542239978,176.14601,166.27399
0610012D04Rik,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
0610012G03Rik,464.0,558.0,579.0,496.0,424.0,530.0,673.0,690.0,711.0
0610025J13Rik,5.00000605826,4.0,9.00000047108,2.99999979779,0.99999970436,7.000002561780001,7.0,6.9999984967,7.0
0610030E20Rik,460.2277,362.9762,362.9476,497.2019,590.6035999999999,516.7341,243.73807,217.54302,215.4381
0610031O16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0610033M10Rik,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610038B21Rik,8.15408,5.08563,4.0,5.08348,9.17222,8.10229,9.20728,7.34348,7.1605
0610039K10Rik,1.999995,1.000492,0.0,3.006571,3.0028140000000003,1.000662,0.0,1.0,0.0
0610040B10Rik,29.99996,32.00143,32.99999,47.00005,31.99997,31.99999,29.999981,26.999971,29.99997
0610040F04Rik,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.00281,0.0
0610040J01Rik,8.0,19.0,30.0,61.0,57.0,56.99995,84.0,85.00001,89.0
0610043K17Rik,5.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0
0710001A04Rik,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1010001B22Rik,9.0,13.0,9.0,9.0,7.0,1.0,7.0,9.0,7.0
1100001I12Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
