,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,extracellular matrix organization (GO:0030198),-0.8476202550489613,-1.9311958700237941,0.0,0.0,0.0,74/221,4.89%,LOXL1;LOXL3;LOX;ADAMTS2;COL14A1;COL3A1;SPARC;TIMP2;FBLN5;CTSS;SPP1;COL8A2;POSTN;COL5A2;FN1;ELN;COL1A1;CYP1B1;MMP14;COMP;COL1A2;COL8A1;ITGB2;MMP2;MFAP5;SERPINE1;COL5A1;COL12A1;LCP1;MFAP2;FBN1;P4HA3;BGN;COL11A1;LOXL2;COL16A1;ITGA11;TNC;ADAMTSL2;ACAN;MMP12;CTSK;LUM;ITGB5;ADAMTS12;MATN4;CAPG;SH3PXD2B;COL9A2;TIMP1;ITGAX;BMP1;ADAM12;COL6A1;FBN2;ITGAM;COL18A1;SLC39A8;ADAM8;MMP19;ITGB7;THBS1;CD44;TGFB2;COL2A1;MMP16;TGFBI;MMP11;COL6A2;ADAMTSL3;LOXL4;DPT;P3H1;CRTAP
1,prerank,extracellular structure organization (GO:0043062),-0.8405944310047062,-1.8822656260082071,0.0,0.0,0.0,55/166,4.60%,LOXL1;LOX;ADAMTS2;COL14A1;COL3A1;SPARC;FBLN5;SPP1;COL8A2;POSTN;COL5A2;FN1;ELN;COL1A1;MMP14;COMP;COL1A2;COL8A1;ITGB2;MMP2;MFAP5;SERPINE1;COL5A1;MFAP2;FBN1;BGN;COL11A1;COL16A1;ITGA11;TNC;ADAMTSL2;ACAN;MMP12;LUM;ITGB5;ADAMTS12;MATN4;COL9A2;ITGAX;ADAM12;COL6A1;FBN2;ITGAM;COL18A1;SLC39A8;MMP19;ITGB7;THBS1;CD44;COL2A1;MMP16;TGFBI;MMP11;COL6A2;ADAMTSL3
2,prerank,external encapsulating structure organization (GO:0045229),-0.8426757946754417,-1.8790275497639324,0.0,0.0,0.0,55/165,4.60%,LOXL1;LOX;ADAMTS2;COL14A1;COL3A1;SPARC;FBLN5;SPP1;COL8A2;POSTN;COL5A2;FN1;ELN;COL1A1;MMP14;COMP;COL1A2;COL8A1;ITGB2;MMP2;MFAP5;SERPINE1;COL5A1;MFAP2;FBN1;BGN;COL11A1;COL16A1;ITGA11;TNC;ADAMTSL2;ACAN;MMP12;LUM;ITGB5;ADAMTS12;MATN4;COL9A2;ITGAX;ADAM12;COL6A1;FBN2;ITGAM;COL18A1;SLC39A8;MMP19;ITGB7;THBS1;CD44;COL2A1;MMP16;TGFBI;MMP11;COL6A2;ADAMTSL3
3,prerank,mitochondrial translation (GO:0032543),0.8168525200453703,1.8248189285595968,0.0,0.0,0.0,73/104,16.11%,GFM1;MRPL42;QRSL1;MRPL55;PTCD3;GATB;MRPS36;TUFM;MRPL18;MRPL39;MTIF2;NDUFA7;MRPS31;MRPL30;MRPL51;MRPL28;MRPL45;GFM2;TSFM;MRPL47;MRPL3;MRPS35;MRPL4;MRPL12;MRPS27;MRPL1;MRPL9;MRPL38;MRPL14;MRPL41;LARS2;MRPS9;MRPL44;MRPS28;MRPS23;MRPL37;MRPL19;OXA1L;MRPL2;MRPL50;IARS2;MRPS2;MRRF;MRPL15;MRPL49;MRPS33;MRPL16;MRPL46;MRPS24;MRPS15;MRPS7;MRPL34;MRPL21;MRPL58;MRPS21;MRPL53;FASTKD2;MRPS17;MRPS18A;MRPS14;MRPS5;MRPS30;MRPS22;MRPS18B;MRPL35;GADD45GIP1;EARS2;DAP3;MRPS34;MRPS25;ERAL1;MTRF1;MRPL10
4,prerank,neutrophil degranulation (GO:0043312),-0.8036755563871317,-1.8060576578777479,0.0,0.0,0.0,96/357,7.79%,CLEC4D;GUSB;TIMP2;CTSS;CTSA;ITGB2;LGALS3;CD68;ARHGAP45;TYROBP;HEXB;GLIPR1;NCKAP1L;C3AR1;CTSZ;TCIRG1;CD53;HVCN1;ANPEP;PTPRC;DOK3;S100A11;PTPN6;HPSE;CD300A;IRAG2;DPP7;FGR;TLR2;FCER1G;RAB31;CTSH;ITGAX;PLAC8;GLA;TNFRSF1B;CLEC12A;HK3;CTSD;SLC11A1;ITGAM;ATP8B4;NPC2;ADAM8;DOCK2;CYBB;GM2A;COTL1;CD44;SIRPA;CYBA;PLAU;CLEC5A;CD14;GRN;NFAM1;EEF1A1;VAT1;PTX3;PRKCD;PADI2;TXNDC5;MAN2B1;ANXA3;RAP2B;DYNLL1;LAIR1;PRDX4;C5AR1;STXBP2;ARPC5;PTAFR;PRCP;KCNAB2;CTSB;APRT;GGH;CSTB;CAP1;ASAH1;CDA;ANXA2;APAF1;CD63;TICAM2;GALNS;ALDH3B1;PLEKHO2;PNP;GLB1;FUCA1;FGL2;ATP6AP2;RHOG;ARHGAP9;GDI2
5,prerank,neutrophil activation involved in immune response (GO:0002283),-0.8029276110621176,-1.8038577686092456,0.0,0.0,0.0,96/358,7.79%,CLEC4D;GUSB;TIMP2;CTSS;CTSA;ITGB2;LGALS3;CD68;ARHGAP45;TYROBP;HEXB;GLIPR1;NCKAP1L;C3AR1;CTSZ;TCIRG1;CD53;HVCN1;ANPEP;PTPRC;DOK3;S100A11;PTPN6;HPSE;CD300A;IRAG2;DPP7;FGR;TLR2;FCER1G;RAB31;CTSH;ITGAX;PLAC8;GLA;TNFRSF1B;CLEC12A;HK3;CTSD;SLC11A1;ITGAM;ATP8B4;NPC2;ADAM8;DOCK2;CYBB;GM2A;COTL1;CD44;SIRPA;CYBA;PLAU;CLEC5A;CD14;GRN;NFAM1;EEF1A1;VAT1;PTX3;PRKCD;PADI2;TXNDC5;MAN2B1;ANXA3;RAP2B;DYNLL1;LAIR1;PRDX4;C5AR1;STXBP2;ARPC5;PTAFR;PRCP;KCNAB2;CTSB;APRT;GGH;CSTB;CAP1;ASAH1;CDA;ANXA2;APAF1;CD63;TICAM2;GALNS;ALDH3B1;PLEKHO2;PNP;GLB1;FUCA1;FGL2;ATP6AP2;RHOG;ARHGAP9;GDI2
6,prerank,neutrophil mediated immunity (GO:0002446),-0.8017667331401945,-1.7981350450233187,0.0,0.0,0.0,98/362,8.14%,CLEC4D;GUSB;TIMP2;CTSS;CTSA;ITGB2;LGALS3;CD68;ARHGAP45;TYROBP;HEXB;GLIPR1;NCKAP1L;C3AR1;CTSZ;TCIRG1;CD53;HVCN1;ANPEP;PTPRC;DOK3;S100A11;PTPN6;HPSE;CD300A;IRAG2;DPP7;FGR;TLR2;FCER1G;RAB31;CTSH;ITGAX;PLAC8;GLA;TNFRSF1B;CLEC12A;HK3;CTSD;SLC11A1;ITGAM;ATP8B4;NPC2;ADAM8;DOCK2;CYBB;GM2A;COTL1;CD44;SIRPA;CYBA;PLAU;CLEC5A;CD14;GRN;NFAM1;EEF1A1;VAT1;PTX3;PRKCD;PADI2;TXNDC5;MAN2B1;ANXA3;RAP2B;DYNLL1;LAIR1;PRDX4;C5AR1;STXBP2;ARPC5;PTAFR;PRCP;KCNAB2;CTSB;APRT;GGH;CSTB;CAP1;ASAH1;CDA;ANXA2;APAF1;CD63;TICAM2;GALNS;ALDH3B1;PLEKHO2;PNP;GLB1;FUCA1;FGL2;ATP6AP2;RHOG;ARHGAP9;GDI2;IRAK4;PTPRJ
7,prerank,supramolecular fiber organization (GO:0097435),-0.7965398248406974,-1.795803128199755,0.0,0.0,0.0,71/266,8.74%,LOXL1;LOXL3;LOX;ADAMTS2;COL14A1;COL3A1;MFAP4;FBLN5;COL8A2;COL5A2;COL1A1;CYP1B1;COL1A2;COL8A1;LTBP2;COL5A1;COL12A1;P4HA3;COL11A1;LOXL2;COL16A1;VIM;CALCA;NPPA;DBN1;LTBP3;LUM;COL9A2;BMP1;COL6A1;MARCKSL1;COL18A1;FAT1;ACTN1;CCDC88B;MARCKS;MYO1F;TGFB2;COL2A1;TGFBI;CORO1A;COL6A2;EMILIN1;LOXL4;DPT;P3H1;CRTAP;CARMIL1;EFEMP2;PLOD2;RAC2;TPM3;TGFBR1;ARHGAP25;MYO1G;COL7A1;COL4A6;COL6A3;MYO5A;TPM2;RHOG;CORO1C;RHOC;MYO1D;MYO1C;P4HB;COL15A1;PPIB;COL27A1;MYO7A;SH3BP1
8,prerank,aerobic electron transport chain (GO:0019646),0.9033475831574936,1.7930849629385057,0.0,0.0039968710821555245,0.01,59/69,8.09%,UQCRC2;SDHA;NDUFS1;NDUFB1;NDUFS3;NDUFB8;COX6A2;NDUFB10;UQCRFS1;NDUFA9;COX10;NDUFA10;NDUFV3;NDUFS2;NDUFB2;NDUFS7;NDUFA4;NDUFS6;CYC1;UQCRC1;UQCR11;COX5A;NDUFS8;NDUFAB1;SDHC;SDHD;AFG1L;NDUFAF1;COX6B1;NDUFV2;NDUFV1;NDUFA3;UQCRH;NDUFA8;UQCRQ;NDUFB5;NDUFS4;NDUFA5;NDUFA6;COX5B;NDUFA13;NDUFB9;COX4I1;NDUFA7;NDUFB11;NDUFB7;NDUFA12;NDUFB6;NDUFB3;NDUFA11;COX6C;CYCS;COX7B;NDUFC1;NDUFA1;COX7C;UQCRB;NDUFS5;NDUFA2
9,prerank,glucose metabolic process (GO:0006006),0.8571670652424461,1.7850633408201604,0.0,0.002664580721437016,0.01,13/44,4.10%,FBP2;SORD;PPARGC1A;ENO3;MDH1;SLC25A11;MDH2;KCNJ11;GOT1;SLC25A13;GOT2;SLC25A12;PGAM2
